fid,country_name,country_code,id,continent_code,perc_resource,resource_catch,resource_value,perc_fleet,fleet_catch,fleet_vessels,perc_processing,processing_weight
16,Samoa,ASM14,AS,CU06,0.03,497,1043836,0,0,0,0,0
156,China,CHN195,CN,CU03,0,0,0,4,81871,69,0,0
184,Cook Islands,COK95,CK,CU06,0.45,8338,17491497,0,0,0,0,0
218,Ecuador,ECU177,EC,CU08,0,0,0,1,21453,0,7,70000
222,El Salvador,SLV175,SV,CU05,0,0,0,1,13276,0,0,0
583,Micronesia,FSM9,FM,CU06,11.39,210453,421607056,2,24193,10,0,0
242,Fiji ,FJI170,FJ,CU06,0,0,0,0,0,0,5,0
360,Indonesia,IDN143,ID,CU03,11.67,215651,456983200,12,215582,0,6,0
392,Japan,JPN135,JP,CU03,0.78,14441,27725365,11,206999,40,11,0
296,Kiribati,KIR131,KI,CU06,15.29,282466,597230501,3,72241,14,1,0
584,Marshall Islands,MHL10,MH,CU06,2.15,39635,83413466,2,77634,10,5,10000
520,Nauru,NRU100,NR,CU06,8.76,161795,343651985,0,0,0,0,0
554,New Zealand,NZL93,NZ,CU06,0.69,12754,26153790,1,24430,0,0,0
585,Palau,PLW85,PW,CU06,0.02,310,540519,0,0,0,0,0
598,PNG,PNG83,PG,CU06,32,591252,1226534211,12,192967,51,8,100000
608,Philippines,PHL80,PH,CU03,5.51,101711,188867553,0,148552,40,9,220000
408,Korea,KOR55,KP,CU03,0.01,234,401079,12,225632,28,8,130000
90,Solomon  Islands,SLB59,SB,CU06,5.83,107629,234630526,1,24769,5,5,15200
724,Spain,ESP54,ES,CU04,0,0,0,2,45010,4,0,0
158,Taiwan,TWN45,TW,CU03,0.24,4510,9335700,11,212480,34,0,0
764,Thailand ,THA42,TH,CU03,0,0,0,0,0,0,12,750000
840,United States,USA16,US,CU05,0.24,4501,9513281,13,254342,40,0,0
548,Vanuatu,VUT6,VU,CU06,0,0,0,1,22484,3,0,0
704,Vietnam,VNM3,VN,CU03,1.22,22484,47301696,1,22484,0,6,35000
