Country,Country_code,Continent_code,PercResource,resourceCatch_metricTons,resourceDollar_value ,PercFleet,fleetCatch_mT,fleetVessels,PercProcessing,processingCatch_mT
American Samoa,ASM14,CU06,0.03,497,1043836,,0,,0.00,
China,CHN195,CU03,0.00,0,0,4,81871,69,0.00,
Cook Islands,COK95,CU06,0.45,8338,17491497,,0,,0.00,
Ecuador,ECU177,CU08,0.00,,,1,21453,,7.00,70000
El Salvador,SLV175,CU05,0.00,,,1,13276,,0.00,
Fiji ,FJI170,CU06,0.00,,,,0,,5.00,
Federated States of Micronesia,FSM9,CU06,11.39,210453,421607056,2,24193,10,0.00,
Indonesia,IDN143,CU03,11.67,215651,456983200,12,215582,,6.00,
Japan,JPN135,CU03,0.78,14441,27725365,11,206999,40,11.00,
Kiribati,KIR131,CU06,15.29,282466,597230501,3,72241,14,1.00,
Republic of Korea,KOR55,CU03,0.01,234,401079,12,225632,28,8.00,130000
Marshall Islands,MHL10,CU06,2.15,39635,83413466,,0,,5.00,10000
Nauru,NRU100,CU06,8.76,161795,343651985,,0,,0.00,
New Zealand,NZL93,CU06,0.69,12754,26153790,1,24430,,0.00,
Palau,PLW85,CU06,0.02,310,540519,,0,,0.00,
Philippines,PHL80,CU03,5.51,101711,188867553,0,148552,40,9.00,220000
Papua New Guinea,PNG83,CU06,32.00,591252,1226534211,12,192967,51,8.00,100000
Marshall Islands,MHL10,CU06,0.00,,,2,77634,10,0.00,
Samoa,WSM70,CU06,0.00,32,66335,,0,,0.00,
Solomon  Islands,SLB59,CU06,5.83,107629,234630526,1,24769,5,5.00,15200
Spain,ESP54,CU04,0.00,,,2,45010,4,0.00,
Taiwan,TWN45,CU03,0.24,4510,9335700,11,212480,34,0.00,
Thailand ,THA42,CU03,0.00,,,,0,,12.00,750000
Tokelau,TOK241,CU06,0.86,15856,32988903,,0,,0.00,
Tuvalu,TUV242,CU06,2.86,52892,113455121,0,10866,1,0.00,
United States,USA16,CU05,0.24,4501,9513281,13,254342,40,0.00,
Vanuatu,VUT6,CU06,0.00,,,1,22484,3,0.00,
Vietnam,VNM3,CU03,1.22,22484,47301696,1,22484,,6.00,35000
